date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:24:05	5504/5504	---M--	200	added ('OK')	image/png	etag:%225ab5eb3a-1580%22	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/img/sponsers/16.png	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/img/sponsers/16.png	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/home-2.html)
16:24:05	4788/4788	---M--	200	added ('OK')	image/png	etag:%225ab5eb38-12b4%22	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/img/sponsers/13.png	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/img/sponsers/13.png	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/home-2.html)
16:24:05	4063/4063	---M--	200	added ('OK')	image/png	etag:%225ab5eb3b-fdf%22	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/img/sponsers/17.png	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/img/sponsers/17.png	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/home-2.html)
16:24:07	4944/4944	---M--	200	added ('OK')	image/png	etag:%225ab5eb13-1350%22	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/img/logo/logo-2.png	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/img/logo/logo-2.png	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/home-2.html)
16:24:08	1823/1823	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ab5eb55-71f%22	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/js/vendor/map.js	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/js/vendor/map.js	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/home-2.html)
16:24:13	69596/69596	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ab5eb50-10fdc%22	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/js/vendor/jquery-3.2.1.min.js	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/js/vendor/jquery-3.2.1.min.js	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/home-2.html)
16:24:13	52486/52486	---M--	200	added ('OK')	image/jpeg	etag:%225ab5eafa-cd06%22	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/img/blog/2.jpg	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/img/blog/2.jpg	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/home-2.html)
16:24:15	74856/74856	---M--	200	added ('OK')	image/jpeg	etag:%225ab5eaf8-12468%22	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/img/blog/1.jpg	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/img/blog/1.jpg	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/home-2.html)
16:24:15	19187/19187	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ab5eb58-4af3%22	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/js/vendor/popper-1.12.9.min.js	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/js/vendor/popper-1.12.9.min.js	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/home-2.html)
16:24:18	42766/42766	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ab5eb57-a70e%22	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/js/vendor/owl.carousel.min.js	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/js/vendor/owl.carousel.min.js	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/home-2.html)
16:24:18	48944/48944	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ab5eb4e-bf30%22	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/js/vendor/bootstrap.min.js	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/js/vendor/bootstrap.min.js	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/home-2.html)
16:24:18	85534/85534	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ab5eb52-14e1e%22	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/js/vendor/jquery-migrate.js	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/js/vendor/jquery-migrate.js	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/home-2.html)
16:24:19	1067/1067	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ab5eb53-42b%22	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/js/vendor/jquery.counterup.min.js	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/js/vendor/jquery.counterup.min.js	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/home-2.html)
16:24:19	8044/8044	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ab5eb59-1f6c%22	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/js/vendor/waypoints-jquery.js	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/js/vendor/waypoints-jquery.js	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/home-2.html)
16:24:20	18410/18410	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ab5eb54-47ea%22	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/js/vendor/lightbox.js	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/js/vendor/lightbox.js	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/home-2.html)
16:24:20	3188/3188	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ab5eb53-c74%22	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/js/vendor/jquery.appear.js	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/js/vendor/jquery.appear.js	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/home-2.html)
16:24:20	4552/4552	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ab5eb4f-11c8%22	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/js/vendor/countdown.js	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/js/vendor/countdown.js	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/home-2.html)
16:24:21	8155/8155	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ab5eb59-1fdb%22	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/js/vendor/wow.min.js	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/js/vendor/wow.min.js	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/home-2.html)
16:24:21	24017/24017	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ab5eb52-5dd1%22	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/js/vendor/jquery-ui.min.js	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/js/vendor/jquery-ui.min.js	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/home-2.html)
16:24:22	6308/6308	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ab5ead6-18a4%22	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/js/main.js	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/js/main.js	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/home-2.html)
16:24:23	2807/2807	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ab5eb57-af7%22	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/js/vendor/plugins.js	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/js/vendor/plugins.js	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/home-2.html)
16:24:23	182597/182597	---M--	200	added ('OK')	image/jpeg	etag:%225ab5eafc-2c945%22	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/img/blog/3.jpg	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/img/blog/3.jpg	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/home-2.html)
16:24:28	77160/77160	---M--	200	added ('OK')	text/html	etag:%2212d68-56822564c48c2%22	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/fonts/fontawesome-webfont.woff2?v=4.7.0	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/fonts/fontawesome-webfont3e6e.html	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/css/vendor/font-awesome.min.css)
16:24:38	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225ab5eacd-2876e%22	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/fonts/fontawesome-webfont.eot?v=4.7.0	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/fonts/fontawesome-webfont3e6e.eot	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/css/vendor/font-awesome.min.css)
16:24:44	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225ab5eacd-2876e%22	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/fonts/fontawesome-webfont.eot?	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/fonts/fontawesome-webfontd41d.eot	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/css/vendor/font-awesome.min.css)
16:24:45	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ab5eace-6c7db%22	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/fonts/fontawesome-webfont.svg?v=4.7.0	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/fonts/fontawesome-webfont3e6e.svg	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/css/vendor/font-awesome.min.css)
16:24:46	98024/98024	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225ab5ead0-17ee8%22	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/fonts/fontawesome-webfont.woff?v=4.7.0	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/fonts/fontawesome-webfont3e6e.woff	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/css/vendor/font-awesome.min.css)
16:24:46	5694/5694	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225ab5eae6-163e%22	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/fonts/flaticon/Flaticon.eot	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/fonts/flaticon/Flaticon.eot	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/css/vendor/flaticon.css)
16:24:47	3824/3824	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225ab5eae7-ef0%22	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/fonts/flaticon/Flaticon.woff	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/fonts/flaticon/Flaticon.woff	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/css/vendor/flaticon.css)
16:24:47	5694/5694	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225ab5eae6-163e%22	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/fonts/flaticon/Flaticon.eot?	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/fonts/flaticon/Flaticond41d.eot	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/css/vendor/flaticon.css)
16:24:48	32375/32375	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ab5eae6-7e77%22	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/fonts/flaticon/Flaticon.svg	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/fonts/flaticon/Flaticon.svg	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/css/vendor/flaticon.css)
